node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
2162,4.0,0.0,678,157,1.9664331210191084,0.9212218288024119,0.9287190554013036,0.07848707494128694,0.8006928942153501,1.0924040007093085,robust,1.0,post_separator,5.0,-117.4993677761867,35.72145925283626,10.164808593758675,-2.261725731162734,"(10.0, 11.0]"
2105,3.0,-1.0,807,184,1.9852717391304349,0.8858240180711486,0.8900007635534939,0.06722868727472223,0.7677620105169309,1.0262050357190287,robust,1.0,post_separator,5.0,-117.51042371403584,35.71245004299572,10.244947980325714,-0.8497846280282371,"(10.0, 11.0]"
2048,2.0,-2.0,863,204,1.9791176470588236,0.8970845920237277,0.8983566544880336,0.06515266120017213,0.7789406354314603,1.0364648057095562,robust,1.0,post_separator,5.0,-117.5214771628167,35.70343980365898,10.325087366892754,0.5621564751062591,"(10.0, 11.0]"
1991,1.0,-3.0,776,187,1.9383957219251335,0.9794737757451379,0.9840747302613602,0.07483175447899122,0.8505607580822605,1.1481293162615678,robust,1.0,post_separator,5.0,-117.53252812363321,35.69442853538789,10.405226753459793,1.9740975782407544,"(10.0, 11.0]"
1934,0.0,-4.0,656,155,1.9386451612903224,0.9789230668945548,0.9868736287285981,0.09019365552889966,0.8224904294757047,1.1783254326380255,robust,1.0,post_separator,5.0,-117.54357659758901,35.685416238744,10.485366140026834,3.386038681375251,"(10.0, 11.0]"
1877,-1.0,-5.0,451,104,1.9159615384615383,1.0316725929177297,1.0300973807609124,0.12857418176979638,0.798026692721443,1.320883914322327,robust,1.0,post_separator,5.0,-117.55462258578751,35.67640291428854,10.565505526593874,4.797979784509748,"(10.0, 11.0]"
2220,6.0,1.0,336,71,1.9688732394366193,0.9164781755128818,0.929532781333089,0.10550072793618584,0.7514024016342079,1.158968345376036,moderately_uncertain,1.0,post_separator,5.0,-117.47725590136615,35.73046184888921,10.750570065475362,-4.419707079147998,"(10.0, 11.0]"
2163,5.0,0.0,556,131,1.9383206106870228,0.9796397267210677,0.9886554132773738,0.08388425726746462,0.8425878506307255,1.1541247008687696,robust,1.0,post_separator,5.0,-117.48831557293889,35.72145468517072,10.830709452042402,-3.007765976013502,"(10.0, 11.0]"
2106,4.0,-1.0,720,166,1.954036144578313,0.9461008398417302,0.9506596093727635,0.07749650969880048,0.7980318626412787,1.1019291436434422,robust,1.0,post_separator,5.0,-117.49937275415911,35.712446491020366,10.910848838609443,-1.5958248728790059,"(10.0, 11.0]"
2049,3.0,-2.0,819,192,1.9625000000000001,0.928972153803747,0.9328737640467375,0.0686415991892505,0.8095547236123967,1.0754975761993366,robust,1.0,post_separator,5.0,-117.5104274461307,35.70343726700036,10.990988225176482,-0.18388376974450882,"(10.0, 11.0]"
